#FRAME_ID    DATE_OBS   FITS_SIZE[MB] FILTER01        FILTER02        FILTER03        FILTER04        RA2000       DEC2000      GALLONG      GALLAT       ECLLONG      ECLLAT             X_2000       Y_2000       Z_2000 UT_STR        EXPTIME   ALTITUDE DATA_TYP         OBS_MOD          OBJECT2                          

COMA00021803 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.628 +25:20:01.43 181.24702    -4.77430     83.35231     2.06567          0.116173     0.896334     0.427890 08:01:01.000  100.430   70.94005 OBJECT           imaging          HD36112                          
COMA00021816 2002-01-01            15 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.623 +25:20:01.53 181.24698    -4.77431     83.35227     2.06570          0.116173     0.896333     0.427890 08:04:10.000  401.750   71.63307 OBJECT           spectroscopy     HD36112                          
COMA00021820 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.640 +25:20:01.52 181.24702    -4.77425     83.35235     2.06569          0.116172     0.896334     0.427890 08:06:15.000  401.750   72.08102 OBJECT           spectroscopy     HD36112                          
COMA00021824 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.638 +25:20:01.54 181.24702    -4.77425     83.35235     2.06570          0.116172     0.896334     0.427891 08:07:24.000  401.750   72.34299 OBJECT           spectroscopy     HD36112                          
COMA00021852 2002-01-01             6 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.679 +25:20:01.83 181.24703    -4.77408     83.35250     2.06577          0.116169     0.896333     0.427892 08:16:10.000  401.750   74.24767 OBJECT           spectroscopy     HD36112                          
COMA00021856 2002-01-01             6 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.702 +25:20:01.75 181.24709    -4.77403     83.35257     2.06575          0.116168     0.896334     0.427891 08:17:27.000  401.750   74.53183 OBJECT           spectroscopy     HD36112                          
COMA00021860 2002-01-01             6 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.683 +25:20:02.02 181.24699    -4.77405     83.35250     2.06582          0.116169     0.896333     0.427893 08:19:16.000  401.750   74.92219 OBJECT           spectroscopy     HD36112                          
COMA00021862 2002-01-01             6 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.683 +25:20:01.88 181.24702    -4.77407     83.35250     2.06579          0.116169     0.896333     0.427892 08:20:15.000  401.750   75.13205 OBJECT           spectroscopy     HD36112                          
COMA00021869 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.504 +25:19:57.24 181.24773    -4.77534     83.35176     2.06453          0.116182     0.896341     0.427872 09:18:57.000  100.430   84.48905 OBJECT           imaging          HD36112                          
COMA00021871 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.765 +25:19:59.86 181.24768    -4.77409     83.35281     2.06521          0.116164     0.896338     0.427883 09:20:35.000  100.430   84.49201 OBJECT           imaging          HD36112                          
COMA00021874 2002-01-01            15 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.765 +25:19:59.86 181.24768    -4.77409     83.35281     2.06521          0.116164     0.896338     0.427883 09:21:12.000  401.750   84.48688 OBJECT           spectroscopy     HD36112                          
COMA00021876 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.773 +25:19:59.86 181.24768    -4.77409     83.35281     2.06521          0.116164     0.896338     0.427883 09:22:24.000  401.750   84.46615 OBJECT           spectroscopy     HD36112                          
COMA00021878 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.783 +25:20:00.00 181.24766    -4.77404     83.35285     2.06524          0.116163     0.896338     0.427884 09:23:28.000  401.750   84.43553 OBJECT           spectroscopy     HD36112                          
COMA00021880 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.794 +25:20:00.49 181.24757    -4.77394     83.35290     2.06538          0.116163     0.896337     0.427886 09:24:02.000  401.750   84.41422 OBJECT           spectroscopy     HD36112                          
COMA00021882 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.804 +25:20:00.43 181.24760    -4.77391     83.35293     2.06536          0.116162     0.896337     0.427886 09:24:33.000  401.750   84.39329 OBJECT           spectroscopy     HD36112                          
COMA00021884 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.808 +25:20:00.82 181.24753    -4.77382     83.35298     2.06547          0.116161     0.896336     0.427887 09:25:02.000  401.750   84.37043 OBJECT           spectroscopy     HD36112                          
COMA00021886 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.813 +25:20:01.00 181.24749    -4.77380     83.35298     2.06552          0.116161     0.896336     0.427888 09:25:31.000  401.750   84.34591 OBJECT           spectroscopy     HD36112                          
COMA00021887 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.803 +25:19:53.97 181.24911    -4.77489     83.35284     2.06357          0.116164     0.896350     0.427857 09:26:48.000  100.430   84.27522 OBJECT           imaging          HD36112                          
COMA00021890 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.813 +25:19:54.09 181.24911    -4.77484     83.35288     2.06360          0.116163     0.896350     0.427858 09:27:18.000  401.750   84.24349 OBJECT           spectroscopy     HD36112                          
COMA00021892 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.787 +25:19:55.35 181.24877    -4.77472     83.35282     2.06395          0.116164     0.896348     0.427863 09:29:12.000  401.750   84.09732 OBJECT           spectroscopy     HD36112                          
COMA00021893 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:36:25.418 -06:42:57.76 210.40457    -19.72421    83.26380     -30.01678        0.101985     0.987888    -0.116949 09:42:07.000  100.430   63.15716 OBJECT           imaging          V380Ori                          
COMA00021895 2002-01-01             6 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:36:25.416 -06:42:57.81 210.40458    -19.72422    83.26380     -30.01680        0.101985     0.987888    -0.116949 09:42:45.000  100.430   63.13346 OBJECT           imaging          V380Ori                          
COMA00021897 2002-01-01             6 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:36:25.441 -06:43:07.69 210.40723    -19.72537    83.26374     -30.01954        0.101983     0.987882    -0.116997 09:48:23.000  100.430   62.87962 OBJECT           imaging          V380Ori                          
COMA00021899 2002-01-01            33 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:36:25.443 -06:43:07.72 210.40724    -19.72537    83.26374     -30.01955        0.101983     0.987882    -0.116997 09:49:38.000  100.430   62.81716 OBJECT           imaging          V380Ori                          
COMA00021901 2002-01-01            33 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:36:25.447 -06:42:58.05 210.40471    -19.72414    83.26394     -30.01687        0.101983     0.987888    -0.116950 09:56:17.000  100.430   62.41708 OBJECT           imaging          V380Ori                          
COMA00021903 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:36:25.482 -06:42:52.42 210.40328    -19.72333    83.26417     -30.01531        0.101981     0.987891    -0.116923 10:03:44.000  100.430   61.86542 OBJECT           imaging          V380Ori                          
COMA00021908 2002-01-01            18 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:36:25.479 -06:42:52.55 210.40331    -19.72334    83.26416     -30.01535        0.101981     0.987891    -0.116924 10:05:23.000  401.750   61.72667 OBJECT           spectroscopy     V380Ori                          
COMA00021909 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:36:25.478 -06:43:02.73 210.40600    -19.72460    83.26401     -30.01817        0.101981     0.987885    -0.116973 10:08:59.000  100.430   61.40793 OBJECT           imaging          V380Ori                          
COMA00021911 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:36:25.478 -06:43:02.77 210.40601    -19.72461    83.26401     -30.01819        0.101981     0.987885    -0.116973 10:09:28.000  100.430   61.36125 OBJECT           imaging          V380Ori                          
COMA00021913 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:39:30.503 +26:22:25.56 181.46726    -2.49909     85.43307     3.01641          0.079999     0.892336     0.444225 10:16:58.000  100.430   77.16220 OBJECT           imaging          RRTau                            
COMA00021915 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:39:30.515 +26:22:25.48 181.46732    -2.49904     85.43315     3.01639          0.079997     0.892337     0.444225 10:17:40.000  100.430   77.01943 OBJECT           imaging          RRTau                            
COMA00021917 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:39:30.502 +26:22:25.51 181.46727    -2.49910     85.43307     3.01640          0.079999     0.892337     0.444225 10:18:15.000  100.430   76.90365 OBJECT           imaging          RRTau                            
COMA00021919 2002-01-01            12 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:39:30.507 +26:22:25.44 181.46731    -2.49908     85.43311     3.01638          0.079998     0.892337     0.444225 10:18:58.000  100.430   76.77221 OBJECT           imaging          RRTau                            
COMA00021921 2002-01-01            12 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:39:30.540 +26:22:20.44 181.46854    -2.49972     85.43317     3.01498          0.079997     0.892348     0.444203 10:21:02.000  100.430   76.34537 OBJECT           imaging          RRTau                            
COMA00021923 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.546 +26:22:20.36 181.46858    -2.49970     85.43321     3.01496          0.079996     0.892348     0.444202 10:23:04.000  100.430   75.93801 OBJECT           imaging          RRTau                            
COMA00021925 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.520 +26:22:25.46 181.46732    -2.49904     85.43315     3.01638          0.079997     0.892337     0.444225 10:24:39.000  100.430   75.60905 OBJECT           imaging          RRTau                            
COMA00021927 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.605 +26:22:34.93 181.46527    -2.49736     85.43358     3.01900          0.079990     0.892317     0.444266 10:27:51.000  100.430   74.95539 OBJECT           imaging          RRTau                            
COMA00021929 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.585 +26:22:34.81 181.46526    -2.49744     85.43350     3.01897          0.079991     0.892317     0.444265 10:28:55.000  100.430   74.72637 OBJECT           imaging          RRTau                            
COMA00021931 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.597 +26:22:34.70 181.46530    -2.49742     85.43354     3.01893          0.079990     0.892317     0.444265 10:29:49.000  100.430   74.53880 OBJECT           imaging          RRTau                            
COMA00021934 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.601 +26:22:34.82 181.46528    -2.49741     85.43354     3.01897          0.079990     0.892317     0.444265 10:30:31.000  401.750   74.40178 OBJECT           spectroscopy     RRTau                            
COMA00021936 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.563 +26:22:34.92 181.46517    -2.49752     85.43339     3.01900          0.079993     0.892317     0.444266 10:33:39.000  401.750   73.73729 OBJECT           spectroscopy     RRTau                            
COMA00021938 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.547 +26:22:34.99 181.46514    -2.49754     85.43335     3.01902          0.079994     0.892317     0.444266 10:36:10.000  401.750   73.20513 OBJECT           spectroscopy     RRTau                            
COMA00021940 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.571 +26:22:34.98 181.46518    -2.49748     85.43343     3.01902          0.079992     0.892317     0.444266 10:38:52.000  401.750   72.63202 OBJECT           spectroscopy     RRTau                            
COMA00021941 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.553 +26:22:25.04 181.46748    -2.49901     85.43325     3.01626          0.079996     0.892338     0.444223 10:42:16.000  100.430   71.91702 OBJECT           imaging          RRTau                            
COMA00021943 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.568 +26:22:25.12 181.46750    -2.49893     85.43333     3.01628          0.079994     0.892338     0.444223 10:42:57.000  100.430   71.76152 OBJECT           imaging          RRTau                            
COMA00021945 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.575 +26:22:25.01 181.46753    -2.49895     85.43333     3.01625          0.079994     0.892338     0.444223 10:43:45.000  100.430   71.58872 OBJECT           imaging          RRTau                            
COMA00021950 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.576 +26:22:24.95 181.46756    -2.49893     85.43336     3.01623          0.079994     0.892338     0.444222 10:44:55.000  401.750   71.33965 OBJECT           spectroscopy     RRTau                            
COMA00021952 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.538 +26:22:25.20 181.46742    -2.49902     85.43322     3.01631          0.079996     0.892337     0.444223 10:47:29.000  401.750   70.78337 OBJECT           spectroscopy     RRTau                            
COMA00021954 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:39:30.537 +26:22:25.16 181.46743    -2.49902     85.43322     3.01629          0.079996     0.892338     0.444223 10:50:00.000  401.750   70.23812 OBJECT           spectroscopy     RRTau                            
COMA00021955 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         04:58:32.876 +01:42:50.58 197.55818    -24.01933    73.56626     -20.85133        0.264815     0.963835     0.029911 10:58:51.000  100.430   53.21489 OBJECT           imaging          HD31767                          
COMA00021957 2002-01-01            33 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         04:58:32.861 +01:42:50.61 197.55813    -24.01940    73.56617     -20.85131        0.264816     0.963835     0.029911 10:59:28.000  100.430   53.08132 OBJECT           imaging          HD31767                          
COMA00021959 2002-01-01            33 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         04:58:32.900 +01:42:45.86 197.55946    -24.01993    73.56619     -20.85264        0.264814     0.963836     0.029888 11:01:37.000  100.430   52.61745 OBJECT           imaging          HD31767                          
COMA00021961 2002-01-01            19 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         04:58:32.885 +01:42:45.75 197.55944    -24.02002    73.56610     -20.85266        0.264815     0.963836     0.029888 11:02:50.000  100.430   52.36061 OBJECT           imaging          HD31767                          
COMA00021963 2002-01-01            19 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         04:58:32.897 +01:42:50.92 197.55814    -24.01921    73.56636     -20.85125        0.264814     0.963836     0.029913 11:04:17.000  100.430   52.04209 OBJECT           imaging          HD31767                          
COMA00021965 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         04:58:32.867 +01:42:58.49 197.55609    -24.01824    73.56648     -20.84914        0.264815     0.963834     0.029950 11:09:19.000  100.430   50.96788 OBJECT           imaging          HD31767                          
COMA00021968 2002-01-01            15 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         04:58:32.861 +01:42:58.74 197.55601    -24.01824    73.56644     -20.84907        0.264816     0.963834     0.029951 11:10:11.000  401.750   50.78067 OBJECT           spectroscopy     HD31767                          
COMA00021969 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         04:58:32.870 +01:42:48.15 197.55879    -24.01971    73.56613     -20.85200        0.264816     0.963835     0.029900 11:12:16.000  100.430   50.32721 OBJECT           imaging          HD31767                          
COMA00021971 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         04:58:32.854 +01:42:48.56 197.55864    -24.01973    73.56606     -20.85187        0.264817     0.963835     0.029902 11:12:55.000  100.430   50.17728 OBJECT           imaging          HD31767                          
COMA00021974 2002-01-01            15 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         04:58:32.854 +01:42:48.69 197.55861    -24.01971    73.56606     -20.85184        0.264817     0.963835     0.029902 11:13:42.000  401.750   50.01567 OBJECT           spectroscopy     HD31767                          
COMA00021975 2002-01-01            12 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         06:07:49.483 +18:39:27.28 191.43389    -0.78050     91.88771     -4.76883        -0.032341     0.946895     0.319912 11:19:07.000  100.430   70.60830 OBJECT           imaging          LKHA208                          
COMA00021977 2002-01-01            12 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         06:07:49.480 +18:39:27.18 191.43392    -0.78051     91.88771     -4.76885        -0.032341     0.946895     0.319911 11:20:17.000  100.430   70.32214 OBJECT           imaging          LKHA208                          
COMA00021979 2002-01-01            15 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         06:07:49.491 +18:39:27.37 191.43389    -0.78045     91.88775     -4.76880        -0.032342     0.946895     0.319912 11:22:03.000  100.430   69.91581 OBJECT           imaging          LKHA208                          
COMA00021981 2002-01-01            15 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         06:07:49.534 +18:39:22.23 191.43521    -0.78101     91.88792     -4.77023        -0.032345     0.946903     0.319888 11:24:31.000  100.430   69.32782 OBJECT           imaging          LKHA208                          
COMA00021983 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.520 +18:39:22.50 191.43513    -0.78101     91.88788     -4.77015        -0.032344     0.946903     0.319890 11:31:57.000  100.430   67.57696 OBJECT           imaging          LKHA208                          
COMA00021985 2002-01-01             8 F01C10.50W6.00  H21             D02             L01L10I         06:07:49.534 +18:39:22.57 191.43513    -0.78096     91.88792     -4.77013        -0.032345     0.946902     0.319890 11:33:27.000  100.430   67.21780 OBJECT           imaging          LKHA208                          
COMA00021987 2002-01-01             8 F01C10.50W6.00  H21             D03             L01L10I         06:07:49.532 +18:39:22.42 191.43517    -0.78098     91.88792     -4.77017        -0.032345     0.946903     0.319889 11:34:48.000  100.430   66.90266 OBJECT           imaging          LKHA208                          
COMA00021989 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.511 +18:39:27.50 191.43390    -0.78037     91.88782     -4.76876        -0.032343     0.946895     0.319913 11:36:58.000  100.430   66.38879 OBJECT           imaging          LKHA208                          
COMA00021991 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.768 +18:39:35.79 191.43238    -0.77835     91.88882     -4.76645        -0.032361     0.946881     0.319951 11:39:56.000  100.430   65.69857 OBJECT           imaging          LKHA208                          
COMA00021994 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.767 +18:39:35.77 191.43239    -0.77835     91.88882     -4.76645        -0.032361     0.946881     0.319951 11:42:44.000  401.750   65.03737 OBJECT           spectroscopy     LKHA208                          
COMA00021996 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.770 +18:39:35.96 191.43234    -0.77833     91.88882     -4.76640        -0.032361     0.946881     0.319951 11:45:17.000  401.750   64.43481 OBJECT           spectroscopy     LKHA208                          
COMA00021997 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.800 +18:39:25.77 191.43487    -0.77960     91.88898     -4.76923        -0.032363     0.946897     0.319905 11:49:04.000  100.430   63.55082 OBJECT           imaging          LKHA208                          
COMA00022000 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.793 +18:39:25.78 191.43485    -0.77963     91.88894     -4.76923        -0.032362     0.946897     0.319905 11:50:02.000  401.750   63.31634 OBJECT           spectroscopy     LKHA208                          
COMA00022002 2002-01-01            36 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.800 +18:39:25.63 191.43491    -0.77962     91.88898     -4.76927        -0.032363     0.946897     0.319904 11:52:34.000  401.750   62.71828 OBJECT           spectroscopy     LKHA208                          
COMA00022004 2002-01-01            32 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         06:07:49.793 +18:39:25.81 191.43484    -0.77963     91.88894     -4.76922        -0.032362     0.946897     0.319905 11:55:26.000  100.430   62.04839 OBJECT           spectroscopy     LKHA208                          
