#FRAME_ID    DATE_OBS   FITS_SIZE[MB] FILTER01        FILTER02        FILTER03        FILTER04        RA2000       DEC2000      GALLONG      GALLAT       ECLLONG      ECLLAT             X_2000       Y_2000       Z_2000 UT_STR        EXPTIME   ALTITUDE DATA_TYP         OBS_MOD          OBJECT2                          

COMA00021711 2002-01-01             9 D12             H21             F08C11.60W1.10  L01L10I         21:34:13.756 +19:49:12.56 72.12117     -23.03831    333.49645    32.23396         0.756797    -0.558829     0.339069 01:24:57.000  100.430   89.96076 OBJECT           imaging          APM08279+5255                    
COMA00021747 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:18:10.550 +33:22:18.25 173.07475    -2.48456     81.16809     10.25373         0.151558     0.821252     0.550069 07:27:43.000  100.430   63.91238 OBJECT           imaging          HD34334                          
COMA00021749 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:18:10.553 +33:22:18.28 173.07474    -2.48455     81.16809     10.25374         0.151558     0.821252     0.550069 07:28:47.000  100.430   64.12151 OBJECT           imaging          HD34334                          
COMA00021751 2002-01-01            14 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:18:10.553 +33:22:18.16 173.07477    -2.48457     81.16808     10.25371         0.151558     0.821252     0.550068 07:29:41.000  100.430   64.29196 OBJECT           imaging          HD34334                          
COMA00021753 2002-01-01            33 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:18:10.528 +33:22:18.31 173.07469    -2.48461     81.16802     10.25375         0.151560     0.821251     0.550069 07:30:50.000  100.430   64.50067 OBJECT           imaging          HD34334                          
COMA00021755 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.525 +33:22:18.32 173.07469    -2.48461     81.16802     10.25375         0.151560     0.821251     0.550069 07:32:00.000  100.430   64.72179 OBJECT           imaging          HD34334                          
COMA00021757 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.950 +33:22:23.18 173.07443    -2.48263     81.16960     10.25499         0.151532     0.821243     0.550089 07:34:09.000  100.430   65.13096 OBJECT           imaging          HD34334                          
COMA00021761 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.925 +33:22:23.17 173.07439    -2.48269     81.16953     10.25500         0.151533     0.821243     0.550089 07:36:18.000  100.430   65.52394 OBJECT           imaging          HD34334                          
COMA00021763 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.941 +33:22:23.18 173.07441    -2.48266     81.16956     10.25500         0.151533     0.821243     0.550089 07:37:21.000  100.430   65.72257 OBJECT           imaging          HD34334                          
COMA00021765 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.792 +33:22:22.98 173.07415    -2.48312     81.16903     10.25498         0.151542     0.821242     0.550088 07:39:52.000  100.430   66.18352 OBJECT           imaging          HD34334                          
COMA00021767 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.881 +33:22:23.00 173.07433    -2.48286     81.16935     10.25496         0.151536     0.821243     0.550088 07:41:15.000  100.430   66.43562 OBJECT           imaging          HD34334                          
COMA00021770 2002-01-01             2 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.879 +33:22:22.85 173.07436    -2.48289     81.16934     10.25492         0.151536     0.821243     0.550087 07:41:42.000  401.750   66.50899 OBJECT           spectroscopy     HD34334                          
COMA00021772 2002-01-01             2 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.872 +33:22:23.11 173.07428    -2.48287     81.16931     10.25500         0.151537     0.821242     0.550089 07:42:28.000  401.750   66.65802 OBJECT           spectroscopy     HD34334                          
COMA00021774 2002-01-01             2 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.855 +33:22:23.12 173.07426    -2.48290     81.16928     10.25500         0.151538     0.821242     0.550089 07:43:09.000  401.750   66.77955 OBJECT           spectroscopy     HD34334                          
COMA00021778 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.847 +33:22:23.12 173.07424    -2.48293     81.16924     10.25500         0.151538     0.821242     0.550089 07:44:48.000  401.750   67.08117 OBJECT           spectroscopy     HD34334                          
COMA00021780 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.864 +33:22:23.30 173.07422    -2.48287     81.16928     10.25505         0.151537     0.821242     0.550089 07:45:23.000  401.750   67.18536 OBJECT           spectroscopy     HD34334                          
COMA00021784 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.858 +33:22:23.21 173.07424    -2.48288     81.16928     10.25503         0.151537     0.821242     0.550089 07:46:40.000  401.750   67.41036 OBJECT           spectroscopy     HD34334                          
COMA00021786 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.858 +33:22:23.30 173.07422    -2.48287     81.16928     10.25505         0.151537     0.821242     0.550089 07:47:12.000  401.750   67.50576 OBJECT           spectroscopy     HD34334                          
COMA00021788 2002-01-01             8 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:18:10.860 +33:22:23.32 173.07421    -2.48287     81.16928     10.25506         0.151537     0.821242     0.550089 07:47:54.000  401.750   67.62814 OBJECT           spectroscopy     HD34334                          
COMA00021789 2002-01-01            33 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:30:27.500 +25:19:57.36 181.24770    -4.77533     83.35176     2.06457          0.116182     0.896341     0.427872 07:52:42.000  100.430   69.09088 OBJECT           imaging          HD36112                          
COMA00021791 2002-01-01            33 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:30:27.519 +25:19:57.35 181.24775    -4.77526     83.35183     2.06456          0.116181     0.896341     0.427872 07:53:24.000  100.430   69.25065 OBJECT           imaging          HD36112                          
COMA00021793 2002-01-01            33 F01C10.50W6.00  H21             F09C12.50W1.15  L01L10I         05:30:27.525 +25:19:47.31 181.25009    -4.77679     83.35169     2.06177          0.116184     0.896362     0.427828 07:54:54.000  100.430   69.58425 OBJECT           imaging          HD36112                          
COMA00021795 2002-01-01            19 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.529 +25:19:47.31 181.25011    -4.77675     83.35173     2.06177          0.116183     0.896362     0.427828 07:56:06.000  100.430   69.83964 OBJECT           imaging          HD36112                          
COMA00021797 2002-01-01            19 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.519 +25:19:57.33 181.24775    -4.77527     83.35183     2.06455          0.116181     0.896341     0.427872 07:57:18.000  100.430   70.11311 OBJECT           imaging          HD36112                          
COMA00021799 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.534 +25:19:57.22 181.24780    -4.77525     83.35187     2.06452          0.116180     0.896341     0.427872 07:58:25.000  100.430   70.35871 OBJECT           imaging          HD36112                          
COMA00021801 2002-01-01             9 F01C10.50W6.00  H21             F05C08.70W0.80  L01L10I         05:30:27.591 +25:20:01.36 181.24695    -4.77444     83.35216     2.06566          0.116175     0.896333     0.427890 08:00:09.000  100.430   70.74590 OBJECT           imaging          HD36112                          
